external_id,title,description,category,state_name,district_name,district_code,location_text,latitude,longitude,estimated_cost,sanction_amount,expenditure_amount,current_status,recommendation_date,sanction_date,completion_date,agency_name,agency_type,reported_progress,payment_status,evidence_file_name,evidence_type,has_completion_certificate
W-1001,Construction of High Capacity Borewell and Tank,Solar powered community borewell and overhead water storage unit,Water Supply & Sanitation,Delhi,North Delhi District,DIST-001,Narela Ward 4 Village,28.852100,77.093400,1500000.00,1500000.00,1350000.00,EXECUTION,2023-04-10,2023-05-15,,North Delhi Municipal Works,Municipal Corporation,15.00,DISBURSED,borewell_site_photo.jpg,PHOTOGRAPH,false
W-1002,Construction of High Capacity Solar Borewell Unit,Community solar powered water supply pump and distribution tank,Water Supply & Sanitation,Delhi,North Delhi District,DIST-001,Narela Ward 4 Village,28.852500,77.093800,1480000.00,1480000.00,1200000.00,EXECUTION,2023-04-12,2023-05-18,,North Delhi Municipal Works,Municipal Corporation,20.00,DISBURSED,borewell_narela.jpg,PHOTOGRAPH,false
W-1003,Construction of Concrete Link Road from Highway to Village,CC road work 1.2km length with drainage,Roads & Bridges,Delhi,North Delhi District,DIST-001,Alipur Village Link,28.798400,77.135200,4500000.00,4500000.00,4500000.00,COMPLETED,2023-01-15,2023-02-20,2023-11-10,Public Works Department Delhi,PWD,100.00,PAID,road_completion.pdf,DOCUMENT,true
W-1004,Upgradation of Primary Health Sub-Centre Building,Renovation of OPD rooms and cold storage facility,Healthcare Facilities,Delhi,North Delhi District,DIST-001,Bawana Sector 3,28.794100,77.042500,2800000.00,2800000.00,2800000.00,COMPLETED,2023-03-01,2023-04-05,2023-02-10,Delhi State Health Infrastructure Corp,State Agency,100.00,PAID,,,false
W-1005,Installation of High Mast LED Street Lights,25 Nos high mast lighting poles across key intersections,Renewable Energy,Delhi,North Delhi District,DIST-001,Jahangirpuri Block C,28.724500,77.170400,85000000.00,85000000.00,42500000.00,EXECUTION,2023-06-10,2023-07-01,,Delhi Renewable Energy Dev Agency,RE Agency,40.00,PARTIAL,light_poles.jpg,PHOTOGRAPH,false
W-1005A,Supply of Standalone Solar Street Lights,10 Standalone solar lighting units for rural junction,Renewable Energy,Delhi,North Delhi District,DIST-001,Holambi Kalan Village,28.812300,77.081200,350000.00,350000.00,350000.00,COMPLETED,2023-05-10,2023-06-01,2023-09-15,Delhi Renewable Energy Dev Agency,RE Agency,100.00,PAID,solar_lights_holambi.jpg,PHOTOGRAPH,true
W-1005B,Solar Street Lighting Project in Gram Panchayat,12 Solar LED lighting posts with automatic dusk sensor,Renewable Energy,Delhi,North Delhi District,DIST-001,Bakhtawarpur Village,28.825600,77.142300,420000.00,420000.00,420000.00,COMPLETED,2023-05-15,2023-06-05,2023-10-01,Delhi Renewable Energy Dev Agency,RE Agency,100.00,PAID,solar_lights_bakhtawar.jpg,PHOTOGRAPH,true
W-1006,Construction of Multipurpose Community Hall,Ground plus one story community hall with rainwater harvesting,Community Infrastructure,Delhi,North Delhi District,DIST-001,Burari Ward 8,28.753300,77.195500,8500000.00,8500000.00,10200000.00,EXECUTION,2022-08-10,2022-09-15,,North Delhi Municipal Works,Municipal Corporation,65.00,DISBURSED,hall_structure.jpg,PHOTOGRAPH,false
W-1007,Establishment of Digital Public Library and Study Center,20 computer systems with high speed internet and furniture,Education & Libraries,Delhi,North Delhi District,DIST-001,Model Town Block 2,28.702800,77.193200,1800000.00,1800000.00,1800000.00,COMPLETED,2023-09-01,2023-10-05,2024-01-20,Delhi Education Infrastructure Board,Education Board,100.00,PAID,library_inauguration.jpg,PHOTOGRAPH,true
W-1008,Desalting and Bund Strengthening of Village Pond,Pond rejuvenation and stone pitching work,Irrigation & Flood Control,Delhi,North Delhi District,DIST-001,Kanjhawala Village,28.729100,77.001200,3200000.00,3200000.00,500000.00,EXECUTION,2021-11-05,2021-12-10,,Irrigation & Flood Control Dept Delhi,Irrigation Dept,10.00,PARTIAL,pond_cleanup.jpg,PHOTOGRAPH,false
